Step,latitude,longitude,ID,timestamp,states
144,-0.961853083333333,101.973738033333,14,2015-03-14 08:20:26.000,2
145,-0.961477666666667,101.973306733333,14,2015-03-14 08:25:26.000,2
146,-0.961340983333333,101.9734487,14,2015-03-14 08:30:27.000,2
147,-0.9612541,101.973477566667,14,2015-03-14 08:35:27.000,2
148,-0.96106065,101.973411466667,14,2015-03-14 08:40:26.000,2
149,-0.960979483333333,101.973319966667,14,2015-03-14 08:45:26.000,1
150,-0.960987266666667,101.973305583333,14,2015-03-14 08:50:27.000,1
151,-0.960881,101.97324765,14,2015-03-14 08:55:27.000,1
152,-0.960909583333333,101.9732615,14,2015-03-14 09:00:27.000,1
153,-0.96078285,101.973419966667,14,2015-03-14 09:05:27.000,1
154,-0.960821333333333,101.97352825,14,2015-03-14 09:10:28.000,1
155,-0.960806683333333,101.973550916667,14,2015-03-14 09:15:27.000,1
156,-0.960826766666667,101.973516033333,14,2015-03-14 09:20:29.000,1
157,-0.960829883333333,101.97352045,14,2015-03-14 09:25:29.000,1
158,-0.960790483333334,101.973545116667,14,2015-03-14 09:30:27.000,1
159,-0.960807,101.973486833333,14,2015-03-14 09:35:27.000,1
160,-0.960813983333333,101.9734691,14,2015-03-14 09:40:28.000,2
161,-0.960781516666667,101.973333433333,14,2015-03-14 09:45:27.000,2
162,-0.960602316666667,101.973082716667,14,2015-03-14 09:50:27.000,2
163,-0.960654016666667,101.972942366667,14,2015-03-14 09:55:26.000,2
164,-0.960695966666667,101.9726863,14,2015-03-14 10:00:27.000,2
165,-0.960954333333333,101.9724345,14,2015-03-14 10:05:27.000,2
166,-0.960984533333333,101.97238995,14,2015-03-14 10:10:27.000,2
167,-0.961390666666666,101.972414966667,14,2015-03-14 10:15:27.000,2
168,-0.96149945,101.9721633,14,2015-03-14 10:20:26.000,2
169,-0.961560566666667,101.972041166667,14,2015-03-14 10:25:27.000,2
170,-0.961681283333333,101.971949283333,14,2015-03-14 10:30:27.000,2
171,-0.961852416666667,101.97190935,14,2015-03-14 10:35:27.000,2
172,-0.961960833333333,101.971987233333,14,2015-03-14 10:40:27.000,2
173,-0.962243083333333,101.971908516667,14,2015-03-14 10:45:27.000,2
174,-0.96268115,101.971533516667,14,2015-03-14 10:50:26.000,2
175,-0.9629351,101.971021216667,14,2015-03-14 10:55:27.000,2
176,-0.963356883333333,101.9705935,14,2015-03-14 11:00:27.000,2
177,-0.963091616666667,101.969691166667,14,2015-03-14 11:05:27.000,2
178,-0.963926233333333,101.969324866667,14,2015-03-14 11:10:27.000,2
179,-0.964943966666667,101.968951683333,14,2015-03-14 11:15:27.000,2
180,-0.964992733333333,101.969304183333,14,2015-03-14 11:20:27.000,2
181,-0.965492866666667,101.969591033333,14,2015-03-14 11:25:26.000,2
182,-0.9660534,101.9692862,14,2015-03-14 11:30:27.000,2
183,-0.966215866666666,101.97020485,14,2015-03-14 11:35:27.000,2
184,-0.96593075,101.971205983333,14,2015-03-14 11:40:27.000,2
185,-0.966216233333333,101.973278433333,14,2015-03-14 11:45:27.000,2
186,-0.967747566666667,101.973513366667,14,2015-03-14 11:50:27.000,2
187,-0.968518733333334,101.974066233333,14,2015-03-14 11:55:27.000,2
188,-0.969032766666667,101.974450516667,14,2015-03-14 12:00:27.000,2
189,-0.968930183333333,101.975221316667,14,2015-03-14 12:05:27.000,2
190,-0.968660566666667,101.976790383333,14,2015-03-14 12:10:26.000,2
191,-0.96926275,101.9782535,14,2015-03-14 12:15:27.000,2
192,-0.969550416666667,101.9796993,14,2015-03-14 12:20:27.000,2
193,-0.97113695,101.980216183333,14,2015-03-14 12:25:26.000,2
194,-0.9727877,101.98078815,14,2015-03-14 12:30:27.000,2
195,-0.974016766666667,101.980876733333,14,2015-03-14 12:35:27.000,2
196,-0.975189966666667,101.9808948,14,2015-03-14 12:40:27.000,2
197,-0.97429915,101.980853066667,14,2015-03-14 12:45:27.000,2
198,-0.973352683333333,101.98116315,14,2015-03-14 12:50:26.000,2
199,-0.972230733333333,101.980833566667,14,2015-03-14 12:55:27.000,2
200,-0.971846,101.98072245,14,2015-03-14 13:00:26.000,2
201,-0.970928633333334,101.979509016667,14,2015-03-14 13:05:26.000,2
202,-0.96950765,101.977985833333,14,2015-03-14 13:10:27.000,2
203,-0.969450833333333,101.9768729,14,2015-03-14 13:15:26.000,2
204,-0.968800416666667,101.975788466667,14,2015-03-14 13:20:27.000,2
205,-0.9680561,101.975744883333,14,2015-03-14 13:25:26.000,2
206,-0.967552916666667,101.975479333333,14,2015-03-14 13:30:26.000,2
207,-0.967521566666667,101.975262333333,14,2015-03-14 13:35:26.000,2
208,-0.967538466666667,101.975076083333,14,2015-03-14 13:40:26.000,2
209,-0.968034566666667,101.97540295,14,2015-03-14 13:45:26.000,2
