Step,longitude,latitude,timestamp,t
850,77.04792391055315,9.378932295010884,2010-01-03 22:50:00,2010-01-03 22:50:00
860,77.04663791950358,9.380917697904753,2010-01-03 23:40:00,2010-01-03 23:40:00
870,77.04587513042621,9.382790027261638,2010-01-04 00:30:00,2010-01-04 00:30:00
880,77.04483318445102,9.385409656198116,2010-01-04 01:20:00,2010-01-04 01:20:00
890,77.04530855905728,9.385073728848631,2010-01-04 02:10:00,2010-01-04 02:10:00
900,77.04504060977392,9.384986334960113,2010-01-04 03:00:00,2010-01-04 03:00:00
910,77.0452669393256,9.385613968168078,2010-01-04 03:50:00,2010-01-04 03:50:00
920,77.0450764938422,9.385529589254064,2010-01-04 04:40:00,2010-01-04 04:40:00
930,77.04479586199508,9.385739059493863,2010-01-04 05:30:00,2010-01-04 05:30:00
940,77.04439970960908,9.386007832003914,2010-01-04 06:20:00,2010-01-04 06:20:00
950,77.04633323067976,9.384377132966184,2010-01-04 07:10:00,2010-01-04 07:10:00
960,77.04940340979346,9.380964616953976,2010-01-04 08:00:00,2010-01-04 08:00:00
970,77.04934772530694,9.38102732266972,2010-01-04 08:50:00,2010-01-04 08:50:00
980,77.04940951222085,9.381367113114338,2010-01-04 09:40:00,2010-01-04 09:40:00
990,77.04961927366249,9.38117745580456,2010-01-04 10:30:00,2010-01-04 10:30:00
1000,77.05157383496389,9.378257318348975,2010-01-04 11:20:00,2010-01-04 11:20:00
1010,77.052547915187,9.37533854120976,2010-01-04 12:10:00,2010-01-04 12:10:00
1020,77.05252361144667,9.375359304386023,2010-01-04 13:00:00,2010-01-04 13:00:00
1030,77.05234535543397,9.37561233604645,2010-01-04 13:50:00,2010-01-04 13:50:00
1040,77.05003817176829,9.378904702463732,2010-01-04 14:40:00,2010-01-04 14:40:00
1050,77.04931961755338,9.381309662798666,2010-01-04 15:30:00,2010-01-04 15:30:00
1060,77.04910845782476,9.38145476083458,2010-01-04 16:20:00,2010-01-04 16:20:00
1070,77.04865284230641,9.383911268040348,2010-01-04 17:10:00,2010-01-04 17:10:00
1080,77.04692464013512,9.38533232305018,2010-01-04 18:00:00,2010-01-04 18:00:00
1090,77.04673408921167,9.385349960192904,2010-01-04 18:50:00,2010-01-04 18:50:00
1100,77.04684135737654,9.38549021285032,2010-01-04 19:40:00,2010-01-04 19:40:00
1110,77.04739871692529,9.383417471151702,2010-01-04 20:30:00,2010-01-04 20:30:00
1120,77.04956727214531,9.381155888851673,2010-01-04 21:20:00,2010-01-04 21:20:00
1130,77.04966692074538,9.3812142583629,2010-01-04 22:10:00,2010-01-04 22:10:00
1140,77.04975398256522,9.38128696040673,2010-01-04 23:00:00,2010-01-04 23:00:00
1150,77.05000888131791,9.379918840719531,2010-01-04 23:50:00,2010-01-04 23:50:00
1160,77.04968702676356,9.380150438607144,2010-01-05 00:40:00,2010-01-05 00:40:00
1170,77.05002058112245,9.38127517129818,2010-01-05 01:30:00,2010-01-05 01:30:00
1180,77.05233642801696,9.384795294727148,2010-01-05 02:20:00,2010-01-05 02:20:00
1190,77.05225712523252,9.384694006098847,2010-01-05 03:10:00,2010-01-05 03:10:00
1200,77.05224603526383,9.384846632730207,2010-01-05 04:00:00,2010-01-05 04:00:00
1210,77.0508478463332,9.383507785596583,2010-01-05 04:50:00,2010-01-05 04:50:00
1220,77.04773436649546,9.381530883262483,2010-01-05 05:40:00,2010-01-05 05:40:00
1230,77.04613195840207,9.378667014461458,2010-01-05 06:30:00,2010-01-05 06:30:00
1240,77.0456196848257,9.378433501899062,2010-01-05 07:20:00,2010-01-05 07:20:00
1250,77.04553515768798,9.37859769951175,2010-01-05 08:10:00,2010-01-05 08:10:00
